
============================================================
filter_models.py — 2026-06-20 14:13:57
Source: /Users/mbp/Documents/MTECH/Sem4/Individual_project/AI_Assisted_3D_Assembly_Design/AI-Assisted-3D-Assembly-Design/Source_3d_models
Thresholds: nodes > 20  edges > 60  timeout 120s
============================================================

Found 7048 assembly.json model(s).
Found 182 hand-crafted STEP model(s) (no assembly.json).
  [3428/7048] NODES>20 (36 bodies): 142485_3fc1bcac → nodes_gt_20/
  [3431/7048] NODES>20 (26 bodies): 142499_e7c99726 → nodes_gt_20/
  [3432/7048] NODES>20 (23 bodies): 142503_1fd94cd7 → nodes_gt_20/
  [3436/7048] NODES>20 (48 bodies): 142552_224d871b → nodes_gt_20/
  [3437/7048] NODES>20 (51 bodies): 142552_5d229cee → nodes_gt_20/
  [3444/7048] NODES>20 (106 bodies): 142659_3e42350b → nodes_gt_20/
  [3450/7048] NODES>20 (24 bodies): 142773_b1469392 → nodes_gt_20/
  [3452/7048] NODES>20 (47 bodies): 142848_001724ce → nodes_gt_20/
  [3454/7048] NODES>20 (34 bodies): 142848_b5cf601e → nodes_gt_20/
  [3461/7048] NODES>20 (91 bodies): 142999_171240b6 → nodes_gt_20/
  [3462/7048] NODES>20 (38 bodies): 143015_4eca6f09 → nodes_gt_20/
  [3463/7048] NODES>20 (52 bodies): 143017_21d96cc2 → nodes_gt_20/
  [3465/7048] NODES>20 (42 bodies): 143019_54c55d14 → nodes_gt_20/
  [3471/7048] NODES>20 (217 bodies): 143255_2c0d06f5 → nodes_gt_20/
  [3485/7048] NODES>20 (125 bodies): 143471_543869e9 → nodes_gt_20/
  [3488/7048] NODES>20 (25 bodies): 143533_986aa06c → nodes_gt_20/
  Progress: 3500/7048 — nodes_mv: 653  edges_mv: 12
  [3504/7048] NODES>20 (37 bodies): 143627_08f68135 → nodes_gt_20/
  [3505/7048] NODES>20 (89 bodies): 143658_f856aac2 → nodes_gt_20/
  [3510/7048] NODES>20 (60 bodies): 143786_f34f7c93 → nodes_gt_20/
  [3513/7048] NODES>20 (34 bodies): 143838_ff41630a → nodes_gt_20/
  [3518/7048] NODES>20 (88 bodies): 143926_6dc855cc → nodes_gt_20/
  [3531/7048] NODES>20 (47 bodies): 144113_8f824d0a → nodes_gt_20/
  [3532/7048] NODES>20 (31 bodies): 144117_83c980ca → nodes_gt_20/
  [3557/7048] NODES>20 (154 bodies): 144436_b108c6db → nodes_gt_20/
  [3563/7048] NODES>20 (23 bodies): 144534_3b4fdb09 → nodes_gt_20/
  [3566/7048] NODES>20 (22 bodies): 144566_cdb1c642 → nodes_gt_20/
  [3570/7048] NODES>20 (83 bodies): 144641_dec0dcb2 → nodes_gt_20/
  [3575/7048] NODES>20 (67 bodies): 144698_994348e6 → nodes_gt_20/
  [3578/7048] NODES>20 (92 bodies): 144711_ea9bd20b → nodes_gt_20/
  [3591/7048] NODES>20 (36 bodies): 144848_5e9ec562 → nodes_gt_20/
  [3601/7048] EDGES>60 (112 dir-edges): 144977_7fbc17b8 → edges_gt_60/
  [3604/7048] NODES>20 (95 bodies): 145018_51446d36 → nodes_gt_20/
  [3614/7048] NODES>20 (137 bodies): 145201_a104c55b → nodes_gt_20/
  [3616/7048] NODES>20 (24 bodies): 145250_cde4d039 → nodes_gt_20/
  [3618/7048] NODES>20 (84 bodies): 145274_9856ca8f → nodes_gt_20/
  [3619/7048] NODES>20 (40 bodies): 145275_96d2b91c → nodes_gt_20/
  [3625/7048] NODES>20 (29 bodies): 145410_ee6bf54b → nodes_gt_20/
  [3628/7048] NODES>20 (22 bodies): 145419_d8132f92 → nodes_gt_20/
  [3631/7048] NODES>20 (74 bodies): 145458_fe9e0820 → nodes_gt_20/
  [3638/7048] NODES>20 (97 bodies): 145555_2b34da0f → nodes_gt_20/
  [3640/7048] NODES>20 (63 bodies): 145603_0980a872 → nodes_gt_20/
  [3653/7048] NODES>20 (269 bodies): 145802_9b4f36d2 → nodes_gt_20/
  [3663/7048] NODES>20 (318 bodies): 145851_31817d8b → nodes_gt_20/
  [3688/7048] NODES>20 (174 bodies): 146229_ebdbb944 → nodes_gt_20/
  [3689/7048] NODES>20 (209 bodies): 146230_1fb4f765 → nodes_gt_20/
  [3691/7048] NODES>20 (44 bodies): 146321_0dbae658 → nodes_gt_20/
  [3702/7048] NODES>20 (41 bodies): 146498_a1bffd0b → nodes_gt_20/
  [3703/7048] NODES>20 (35 bodies): 146518_0ab70b0c → nodes_gt_20/
  [3708/7048] NODES>20 (199 bodies): 146553_a3c04a09 → nodes_gt_20/
  [3715/7048] NODES>20 (65 bodies): 146602_ca469137 → nodes_gt_20/
  [3717/7048] NODES>20 (92 bodies): 146618_b2f1a4f4 → nodes_gt_20/
  [3719/7048] NODES>20 (38 bodies): 146646_f24f3c97 → nodes_gt_20/
  [3723/7048] NODES>20 (27 bodies): 146667_fe438b5b → nodes_gt_20/
  [3724/7048] NODES>20 (22 bodies): 146668_d1fbf7ee → nodes_gt_20/
  [3729/7048] NODES>20 (22 bodies): 146826_88fb7575 → nodes_gt_20/
  [3730/7048] NODES>20 (23 bodies): 146826_f7eaa526 → nodes_gt_20/
  [3732/7048] NODES>20 (95 bodies): 146856_e3317cc7 → nodes_gt_20/
  [3734/7048] NODES>20 (35 bodies): 146889_355637a1 → nodes_gt_20/
  [3736/7048] NODES>20 (27 bodies): 146999_eea2e46a → nodes_gt_20/
  [3746/7048] NODES>20 (105 bodies): 147411_87fc9381 → nodes_gt_20/
  [3747/7048] NODES>20 (61 bodies): 147427_69f68da4 → nodes_gt_20/
  [3748/7048] NODES>20 (75 bodies): 147546_ede0f31c → nodes_gt_20/
  [3751/7048] NODES>20 (31 bodies): 147581_111d626e → nodes_gt_20/
  [3752/7048] NODES>20 (22 bodies): 147602_1e910f4b → nodes_gt_20/
  [3753/7048] NODES>20 (22 bodies): 147602_ea6956b1 → nodes_gt_20/
  [3755/7048] NODES>20 (27 bodies): 147641_7198279f → nodes_gt_20/
  [3757/7048] NODES>20 (57 bodies): 147651_d3c4281c → nodes_gt_20/
  [3763/7048] NODES>20 (58 bodies): 147799_458b68b3 → nodes_gt_20/
  [3766/7048] NODES>20 (67 bodies): 147926_c90e54e1 → nodes_gt_20/
  [3771/7048] NODES>20 (28 bodies): 148024_0fa50126 → nodes_gt_20/
  [3772/7048] NODES>20 (209 bodies): 148082_8b644daf → nodes_gt_20/
  [3774/7048] NODES>20 (23 bodies): 148094_a1f8d3f5 → nodes_gt_20/
  [3776/7048] NODES>20 (25 bodies): 148128_e1d30e8b → nodes_gt_20/
  [3801/7048] NODES>20 (44 bodies): 21282_b2d83538 → nodes_gt_20/
  [3808/7048] NODES>20 (39 bodies): 21859_35124f79 → nodes_gt_20/
  [3809/7048] NODES>20 (28 bodies): 21941_1a683ec2 → nodes_gt_20/
  [3811/7048] NODES>20 (64 bodies): 22334_677d00e0 → nodes_gt_20/
  [3812/7048] NODES>20 (38 bodies): 22414_14ead4a3 → nodes_gt_20/
  [3813/7048] NODES>20 (89 bodies): 22415_658c81dd → nodes_gt_20/
  [3816/7048] NODES>20 (27 bodies): 22491_a33562ad → nodes_gt_20/
  [3826/7048] NODES>20 (212 bodies): 23020_1d0d0f01 → nodes_gt_20/
  [3827/7048] NODES>20 (65 bodies): 23083_fdb942ac → nodes_gt_20/
  [3831/7048] NODES>20 (41 bodies): 23168_7fdf5427 → nodes_gt_20/
  [3836/7048] NODES>20 (105 bodies): 23495_6366269c → nodes_gt_20/
  [3838/7048] NODES>20 (32 bodies): 23668_d4fa89ff → nodes_gt_20/
  [3840/7048] NODES>20 (51 bodies): 23767_baed788c → nodes_gt_20/
  [3846/7048] NODES>20 (31 bodies): 24250_dd7e0408 → nodes_gt_20/
  [3847/7048] NODES>20 (21 bodies): 24267_8a216138 → nodes_gt_20/
  [3848/7048] NODES>20 (27 bodies): 24271_dbc0fd2d → nodes_gt_20/
  [3850/7048] NODES>20 (50 bodies): 24333_037162e0 → nodes_gt_20/
  [3862/7048] NODES>20 (23 bodies): 24735_384e3c90 → nodes_gt_20/
  [3865/7048] NODES>20 (44 bodies): 24804_efad9dba → nodes_gt_20/
  [3867/7048] NODES>20 (27 bodies): 24815_4f2a57e4 → nodes_gt_20/
  [3869/7048] NODES>20 (25 bodies): 24886_ecf7fcaa → nodes_gt_20/
  [3874/7048] NODES>20 (73 bodies): 25424_c1308e72 → nodes_gt_20/
  [3881/7048] NODES>20 (26 bodies): 26156_cc023332 → nodes_gt_20/
  [3885/7048] NODES>20 (113 bodies): 26375_9f81fc0d → nodes_gt_20/
  [3886/7048] NODES>20 (128 bodies): 26377_7da65752 → nodes_gt_20/
  [3888/7048] NODES>20 (82 bodies): 26400_3d7c50c4 → nodes_gt_20/
  [3892/7048] NODES>20 (44 bodies): 26553_bc82229b → nodes_gt_20/
  [3894/7048] NODES>20 (26 bodies): 26643_987faf85 → nodes_gt_20/
  [3895/7048] NODES>20 (29 bodies): 26677_d8a200f0 → nodes_gt_20/
  [3901/7048] NODES>20 (23 bodies): 26938_47d13587 → nodes_gt_20/
  [3905/7048] NODES>20 (45 bodies): 27049_f4b9a4b3 → nodes_gt_20/
  [3907/7048] NODES>20 (40 bodies): 27070_53448c4a → nodes_gt_20/
  [3909/7048] NODES>20 (45 bodies): 27219_0db40571 → nodes_gt_20/
  [3914/7048] NODES>20 (35 bodies): 27452_f37cb86c → nodes_gt_20/
  [3915/7048] NODES>20 (42 bodies): 27577_8520e14a → nodes_gt_20/
  [3918/7048] NODES>20 (187 bodies): 27717_5de88b4a → nodes_gt_20/
  [3921/7048] NODES>20 (23 bodies): 27729_09d75da1 → nodes_gt_20/
  [3924/7048] NODES>20 (26 bodies): 27847_d2436f7c → nodes_gt_20/
  [3926/7048] EDGES>60 (68 dir-edges): 27935_d49f374d → edges_gt_60/
  [3927/7048] NODES>20 (44 bodies): 27942_9324c166 → nodes_gt_20/
  [3929/7048] NODES>20 (83 bodies): 27958_fee329eb → nodes_gt_20/
  [3930/7048] NODES>20 (29 bodies): 28117_d2b445c3 → nodes_gt_20/
  [3931/7048] NODES>20 (21 bodies): 28119_f4fb1c4c → nodes_gt_20/
  [3933/7048] NODES>20 (24 bodies): 28213_40ba97c1 → nodes_gt_20/
  [3937/7048] NODES>20 (23 bodies): 28280_212120bd → nodes_gt_20/
  [3938/7048] NODES>20 (71 bodies): 28282_97002185 → nodes_gt_20/
  [3943/7048] NODES>20 (49 bodies): 28379_7e292343 → nodes_gt_20/
  [3953/7048] NODES>20 (21 bodies): 28870_da6bdb2e → nodes_gt_20/
  [3960/7048] NODES>20 (31 bodies): 28928_ea3d1075 → nodes_gt_20/
  [3971/7048] NODES>20 (113 bodies): 29184_9d7cf184 → nodes_gt_20/
  [3978/7048] NODES>20 (67 bodies): 29516_f938fec3 → nodes_gt_20/
  [3986/7048] NODES>20 (33 bodies): 29845_053c4c5b → nodes_gt_20/
  [3994/7048] NODES>20 (21 bodies): 30256_da1d01b5 → nodes_gt_20/
  [3995/7048] NODES>20 (274 bodies): 30270_84c53a15 → nodes_gt_20/
  [3997/7048] NODES>20 (29 bodies): 30274_ca0d10b2 → nodes_gt_20/
  [3999/7048] NODES>20 (79 bodies): 30297_fd93a92a → nodes_gt_20/
  [4000/7048] NODES>20 (51 bodies): 30368_d7fd30ce → nodes_gt_20/
  Progress: 4000/7048 — nodes_mv: 765  edges_mv: 14
  [4003/7048] NODES>20 (34 bodies): 30377_e18ea3de → nodes_gt_20/
  [4006/7048] NODES>20 (23 bodies): 30388_1161a669 → nodes_gt_20/
  [4010/7048] EDGES>60 (62 dir-edges): 30418_de83ae84 → edges_gt_60/
  [4011/7048] NODES>20 (22 bodies): 30442_4ff1d06c → nodes_gt_20/
  [4014/7048] NODES>20 (45 bodies): 30643_be4a0dae → nodes_gt_20/
  [4017/7048] NODES>20 (26 bodies): 30731_59735463 → nodes_gt_20/
  [4034/7048] NODES>20 (46 bodies): 30905_511b96bf → nodes_gt_20/
  [4035/7048] NODES>20 (86 bodies): 30910_38ea5a06 → nodes_gt_20/
  [4036/7048] NODES>20 (49 bodies): 30980_d0535092 → nodes_gt_20/
  [4038/7048] NODES>20 (22 bodies): 30996_10b0a412 → nodes_gt_20/
  [4041/7048] EDGES>60 (66 dir-edges): 31011_7f51c882 → edges_gt_60/
  [4043/7048] NODES>20 (217 bodies): 31015_7067f7e5 → nodes_gt_20/
  [4046/7048] NODES>20 (23 bodies): 31099_481b30db → nodes_gt_20/
  [4047/7048] NODES>20 (30 bodies): 31110_31a14dba → nodes_gt_20/
  [4049/7048] NODES>20 (76 bodies): 31117_cd5cdbdb → nodes_gt_20/
  [4051/7048] NODES>20 (40 bodies): 31129_c9db129b → nodes_gt_20/
  [4053/7048] NODES>20 (32 bodies): 31213_185aca67 → nodes_gt_20/
  [4056/7048] NODES>20 (168 bodies): 31264_8280e3cc → nodes_gt_20/
  [4060/7048] NODES>20 (32 bodies): 31340_dd0bb0ea → nodes_gt_20/
  [4062/7048] NODES>20 (110 bodies): 31351_19c807b4 → nodes_gt_20/
  [4064/7048] NODES>20 (48 bodies): 31361_72aab333 → nodes_gt_20/
  [4065/7048] NODES>20 (230 bodies): 31365_89ae3062 → nodes_gt_20/
  [4066/7048] NODES>20 (240 bodies): 31377_d11ba9e5 → nodes_gt_20/
  [4068/7048] NODES>20 (30 bodies): 31455_14e32e92 → nodes_gt_20/
  [4070/7048] NODES>20 (36 bodies): 31458_dd80eda7 → nodes_gt_20/
  [4071/7048] NODES>20 (27 bodies): 31459_1fd4998f → nodes_gt_20/
  [4072/7048] NODES>20 (33 bodies): 31460_39fdfc6a → nodes_gt_20/
  [4073/7048] NODES>20 (28 bodies): 31462_84375249 → nodes_gt_20/
  [4075/7048] NODES>20 (48 bodies): 31469_a2a85e2b → nodes_gt_20/
  [4081/7048] NODES>20 (186 bodies): 31527_577418c8 → nodes_gt_20/
  [4082/7048] NODES>20 (76 bodies): 31589_ac31215d → nodes_gt_20/
  [4083/7048] NODES>20 (33 bodies): 31590_157528f6 → nodes_gt_20/
  [4085/7048] NODES>20 (80 bodies): 31597_99d5e14f → nodes_gt_20/
  [4086/7048] NODES>20 (47 bodies): 31599_bad21c53 → nodes_gt_20/
  [4087/7048] NODES>20 (189 bodies): 31600_4fbf9345 → nodes_gt_20/
  [4088/7048] NODES>20 (32 bodies): 31601_ec207433 → nodes_gt_20/
  [4090/7048] NODES>20 (214 bodies): 31605_440f6c4f → nodes_gt_20/
  [4091/7048] NODES>20 (34 bodies): 31606_9745bbac → nodes_gt_20/
  [4100/7048] NODES>20 (87 bodies): 31640_96c29ce2 → nodes_gt_20/
  [4101/7048] NODES>20 (22 bodies): 31642_61133335 → nodes_gt_20/
  [4102/7048] NODES>20 (54 bodies): 31645_11901b20 → nodes_gt_20/
  [4103/7048] NODES>20 (30 bodies): 31647_ab9ad9dc → nodes_gt_20/
  [4104/7048] NODES>20 (36 bodies): 31651_75411843 → nodes_gt_20/
  [4105/7048] NODES>20 (21 bodies): 31655_baca05af → nodes_gt_20/
  [4106/7048] NODES>20 (33 bodies): 31656_ff84c0aa → nodes_gt_20/
  [4108/7048] NODES>20 (44 bodies): 31659_32b9ca3a → nodes_gt_20/
  [4109/7048] NODES>20 (229 bodies): 31660_ac6474e1 → nodes_gt_20/
  [4110/7048] NODES>20 (60 bodies): 31663_c1a12209 → nodes_gt_20/
  [4111/7048] NODES>20 (32 bodies): 31664_1e85c690 → nodes_gt_20/
  [4112/7048] NODES>20 (105 bodies): 31667_a38ff7b3 → nodes_gt_20/
  [4113/7048] NODES>20 (24 bodies): 31669_21299c97 → nodes_gt_20/
  [4117/7048] NODES>20 (24 bodies): 31739_19748ed4 → nodes_gt_20/
  [4118/7048] NODES>20 (30 bodies): 31740_86dab66b → nodes_gt_20/
  [4119/7048] NODES>20 (57 bodies): 31743_14844fbf → nodes_gt_20/
  [4120/7048] NODES>20 (23 bodies): 31751_e37382e1 → nodes_gt_20/
  [4122/7048] NODES>20 (60 bodies): 31760_86196b72 → nodes_gt_20/
  [4123/7048] NODES>20 (63 bodies): 31761_8764396d → nodes_gt_20/
  [4124/7048] NODES>20 (61 bodies): 31763_ccbee9ee → nodes_gt_20/
  [4125/7048] NODES>20 (32 bodies): 31830_6b6967b5 → nodes_gt_20/
  [4126/7048] NODES>20 (70 bodies): 31831_12689eab → nodes_gt_20/
  [4129/7048] NODES>20 (71 bodies): 31930_fd018d7e → nodes_gt_20/
  [4131/7048] NODES>20 (25 bodies): 31935_d3b86ff6 → nodes_gt_20/
  [4134/7048] NODES>20 (32 bodies): 32049_632b3378 → nodes_gt_20/
  [4136/7048] NODES>20 (40 bodies): 32082_035acfdb → nodes_gt_20/
  [4141/7048] NODES>20 (70 bodies): 32160_661a301e → nodes_gt_20/
  [4147/7048] NODES>20 (35 bodies): 32169_c6811fb2 → nodes_gt_20/
  [4150/7048] NODES>20 (49 bodies): 32216_06401c17 → nodes_gt_20/
  [4151/7048] NODES>20 (104 bodies): 32220_1fd19c5e → nodes_gt_20/
  [4160/7048] NODES>20 (31 bodies): 32541_86f7df73 → nodes_gt_20/
  [4162/7048] EDGES>60 (78 dir-edges): 32549_f90975a7 → edges_gt_60/
  [4169/7048] NODES>20 (164 bodies): 32564_b487393e → nodes_gt_20/
  [4170/7048] NODES>20 (35 bodies): 32566_7bfc936b → nodes_gt_20/
  [4171/7048] NODES>20 (21 bodies): 32666_4baa4ef5 → nodes_gt_20/
  [4172/7048] NODES>20 (77 bodies): 32678_7c9b2268 → nodes_gt_20/
  [4179/7048] NODES>20 (38 bodies): 32960_0eaa1de8 → nodes_gt_20/
  [4181/7048] NODES>20 (24 bodies): 32972_86e78aaf → nodes_gt_20/
  [4187/7048] NODES>20 (29 bodies): 33051_709730fe → nodes_gt_20/
  [4189/7048] NODES>20 (22 bodies): 33084_344fec27 → nodes_gt_20/
  [4192/7048] NODES>20 (23 bodies): 33165_cec42ec5 → nodes_gt_20/
  [4193/7048] NODES>20 (21 bodies): 33171_e4b4721e → nodes_gt_20/
  [4194/7048] NODES>20 (43 bodies): 33177_c46f3a50 → nodes_gt_20/
  [4196/7048] NODES>20 (21 bodies): 33304_88785332 → nodes_gt_20/
  [4199/7048] NODES>20 (38 bodies): 33411_464f29d2 → nodes_gt_20/
  [4200/7048] NODES>20 (70 bodies): 33413_060ce192 → nodes_gt_20/
  [4202/7048] NODES>20 (69 bodies): 33418_c6d92d7c → nodes_gt_20/
  [4204/7048] NODES>20 (48 bodies): 33429_6fdcdf68 → nodes_gt_20/
  [4208/7048] NODES>20 (33 bodies): 33499_48ac4df4 → nodes_gt_20/
  [4210/7048] NODES>20 (66 bodies): 33528_10e28c4c → nodes_gt_20/
  [4211/7048] NODES>20 (30 bodies): 33529_756075a0 → nodes_gt_20/
  [4215/7048] NODES>20 (35 bodies): 33612_7344159a → nodes_gt_20/
  [4216/7048] NODES>20 (24 bodies): 33615_7bab1106 → nodes_gt_20/
  [4217/7048] NODES>20 (32 bodies): 33616_953c1fc4 → nodes_gt_20/
  [4218/7048] NODES>20 (31 bodies): 33619_4f145152 → nodes_gt_20/
  [4221/7048] NODES>20 (36 bodies): 33631_c20a5d08 → nodes_gt_20/
  [4222/7048] NODES>20 (39 bodies): 33632_da973faa → nodes_gt_20/
  [4224/7048] NODES>20 (37 bodies): 33671_0e9c6ca3 → nodes_gt_20/
  [4225/7048] NODES>20 (53 bodies): 33738_77d49563 → nodes_gt_20/
  [4227/7048] NODES>20 (123 bodies): 33765_4d6288b9 → nodes_gt_20/
  [4228/7048] NODES>20 (48 bodies): 33782_5c085bbe → nodes_gt_20/
  [4229/7048] NODES>20 (66 bodies): 33783_72eb445d → nodes_gt_20/
  [4231/7048] NODES>20 (33 bodies): 33849_5f23827e → nodes_gt_20/
  [4232/7048] NODES>20 (39 bodies): 33859_abb6d914 → nodes_gt_20/
  [4233/7048] NODES>20 (28 bodies): 33889_140afd21 → nodes_gt_20/
  [4235/7048] NODES>20 (29 bodies): 33966_34da4534 → nodes_gt_20/
  [4236/7048] NODES>20 (29 bodies): 33967_0741e236 → nodes_gt_20/
  [4238/7048] NODES>20 (87 bodies): 33970_c040ca8f → nodes_gt_20/
  [4239/7048] NODES>20 (34 bodies): 33971_46bb0373 → nodes_gt_20/
  [4241/7048] NODES>20 (38 bodies): 33973_0bcf43ee → nodes_gt_20/
  [4242/7048] NODES>20 (24 bodies): 33982_7068f714 → nodes_gt_20/
  [4243/7048] NODES>20 (57 bodies): 33991_aaf84876 → nodes_gt_20/
  [4244/7048] NODES>20 (31 bodies): 33995_18423507 → nodes_gt_20/
  [4251/7048] NODES>20 (32 bodies): 34117_465887a0 → nodes_gt_20/
  [4254/7048] NODES>20 (32 bodies): 34181_2996d1f6 → nodes_gt_20/
  [4255/7048] NODES>20 (21 bodies): 34225_0bedc717 → nodes_gt_20/
  [4257/7048] NODES>20 (23 bodies): 34225_69ae4861 → nodes_gt_20/
  [4258/7048] NODES>20 (38 bodies): 34306_6882e0c0 → nodes_gt_20/
  [4259/7048] NODES>20 (62 bodies): 34339_22189e94 → nodes_gt_20/
  [4260/7048] NODES>20 (36 bodies): 34346_d3e86e1e → nodes_gt_20/
  [4261/7048] NODES>20 (29 bodies): 34380_ecca2d9a → nodes_gt_20/
  [4263/7048] NODES>20 (41 bodies): 34417_7ab86974 → nodes_gt_20/
  [4265/7048] NODES>20 (72 bodies): 34432_69b3f153 → nodes_gt_20/
  [4266/7048] EDGES>60 (62 dir-edges): 34434_f28da102 → edges_gt_60/
  [4267/7048] NODES>20 (36 bodies): 34456_fac5e814 → nodes_gt_20/
  [4268/7048] NODES>20 (21 bodies): 34520_035b5e9a → nodes_gt_20/
  [4284/7048] EDGES>60 (62 dir-edges): 34558_68b270ad → edges_gt_60/
  [4288/7048] NODES>20 (23 bodies): 34600_e2685d46 → nodes_gt_20/
  [4289/7048] NODES>20 (107 bodies): 34668_8a753dee → nodes_gt_20/
  [4290/7048] NODES>20 (22 bodies): 34669_0533549b → nodes_gt_20/
  [4292/7048] NODES>20 (32 bodies): 34671_a5e8d4f9 → nodes_gt_20/
  [4293/7048] NODES>20 (40 bodies): 34672_301d66e9 → nodes_gt_20/
  [4294/7048] NODES>20 (28 bodies): 34673_5d261268 → nodes_gt_20/
  [4295/7048] NODES>20 (26 bodies): 34675_769b3cf9 → nodes_gt_20/
  [4298/7048] NODES>20 (24 bodies): 34690_e06f682f → nodes_gt_20/
  [4300/7048] NODES>20 (30 bodies): 34770_6bba5bd4 → nodes_gt_20/
  [4301/7048] NODES>20 (30 bodies): 34782_b461066c → nodes_gt_20/
  [4305/7048] NODES>20 (53 bodies): 34893_ce1b0eec → nodes_gt_20/
  [4307/7048] NODES>20 (70 bodies): 34907_e9a6ae90 → nodes_gt_20/
  [4308/7048] NODES>20 (24 bodies): 34908_cb4ff86b → nodes_gt_20/
  [4310/7048] NODES>20 (22 bodies): 34912_41656ab1 → nodes_gt_20/
  [4311/7048] NODES>20 (37 bodies): 34914_8911676d → nodes_gt_20/
  [4314/7048] NODES>20 (46 bodies): 34982_fd1e87ff → nodes_gt_20/
  [4315/7048] NODES>20 (26 bodies): 35056_9ce25dc9 → nodes_gt_20/
  [4319/7048] NODES>20 (21 bodies): 35147_bc9f2c5d → nodes_gt_20/
  [4324/7048] NODES>20 (39 bodies): 35321_49c4ec2b → nodes_gt_20/
  [4328/7048] NODES>20 (21 bodies): 35584_fb213b6b → nodes_gt_20/
  [4330/7048] NODES>20 (94 bodies): 35866_d0233b36 → nodes_gt_20/
  [4331/7048] NODES>20 (35 bodies): 35868_6a6fdf71 → nodes_gt_20/
  [4333/7048] NODES>20 (34 bodies): 35941_9352b107 → nodes_gt_20/
  [4334/7048] EDGES>60 (86 dir-edges): 35942_15af9085 → edges_gt_60/
  [4336/7048] NODES>20 (24 bodies): 36016_ae2e6d8f → nodes_gt_20/
  [4341/7048] NODES>20 (234 bodies): 36155_8d52bd75 → nodes_gt_20/
  [4351/7048] NODES>20 (39 bodies): 36283_01a8e5e3 → nodes_gt_20/
  [4353/7048] NODES>20 (26 bodies): 36307_6290776b → nodes_gt_20/
  [4355/7048] NODES>20 (29 bodies): 36323_5a763909 → nodes_gt_20/
  [4356/7048] NODES>20 (26 bodies): 36326_c5319e42 → nodes_gt_20/
  [4357/7048] NODES>20 (39 bodies): 36327_2dad061c → nodes_gt_20/
  [4365/7048] NODES>20 (30 bodies): 36440_1a838cec → nodes_gt_20/
  [4367/7048] NODES>20 (38 bodies): 36510_4f8cf913 → nodes_gt_20/
  [4374/7048] NODES>20 (103 bodies): 36671_e4a64b8c → nodes_gt_20/
  [4376/7048] NODES>20 (26 bodies): 36735_f4ef1c35 → nodes_gt_20/
  [4379/7048] NODES>20 (26 bodies): 37016_455093c1 → nodes_gt_20/
  [4384/7048] NODES>20 (45 bodies): 37157_f673ed68 → nodes_gt_20/
  [4385/7048] NODES>20 (22 bodies): 37220_fedc7162 → nodes_gt_20/
  [4387/7048] NODES>20 (40 bodies): 37267_b2be4b50 → nodes_gt_20/
  [4390/7048] NODES>20 (39 bodies): 37442_5d12f8ed → nodes_gt_20/
  [4392/7048] NODES>20 (83 bodies): 37518_9f912ab9 → nodes_gt_20/
  [4394/7048] NODES>20 (56 bodies): 37524_6004c446 → nodes_gt_20/
  [4395/7048] NODES>20 (34 bodies): 37532_73fa71e7 → nodes_gt_20/
  [4396/7048] NODES>20 (106 bodies): 37536_39dd6680 → nodes_gt_20/
  [4397/7048] NODES>20 (54 bodies): 37592_5e6d1d3d → nodes_gt_20/
  [4398/7048] NODES>20 (35 bodies): 37596_8efba003 → nodes_gt_20/
  [4399/7048] NODES>20 (26 bodies): 37599_faf701a1 → nodes_gt_20/
  [4401/7048] NODES>20 (29 bodies): 37621_750241ab → nodes_gt_20/
  [4408/7048] NODES>20 (112 bodies): 37810_95f6762a → nodes_gt_20/
  [4409/7048] NODES>20 (42 bodies): 37818_185485e6 → nodes_gt_20/
  [4411/7048] NODES>20 (24 bodies): 37829_8ccb1aa5 → nodes_gt_20/
  [4412/7048] NODES>20 (151 bodies): 37840_de7298de → nodes_gt_20/
  [4413/7048] NODES>20 (56 bodies): 37844_7d246b91 → nodes_gt_20/
  [4418/7048] NODES>20 (116 bodies): 38022_acf4492b → nodes_gt_20/
  [4421/7048] NODES>20 (23 bodies): 38198_7c60c095 → nodes_gt_20/
  [4426/7048] NODES>20 (24 bodies): 38360_ad61c9b2 → nodes_gt_20/
  [4429/7048] NODES>20 (85 bodies): 38484_56f24230 → nodes_gt_20/
  [4436/7048] NODES>20 (31 bodies): 38663_d63ead66 → nodes_gt_20/
  [4439/7048] NODES>20 (67 bodies): 38676_1bd72a8a → nodes_gt_20/
  [4441/7048] NODES>20 (35 bodies): 38740_c9ed5246 → nodes_gt_20/
  [4443/7048] NODES>20 (48 bodies): 38744_d3ed94c6 → nodes_gt_20/
  [4444/7048] NODES>20 (30 bodies): 38758_f52dac9f → nodes_gt_20/
  [4449/7048] NODES>20 (40 bodies): 38832_5e2b4d14 → nodes_gt_20/
  [4450/7048] NODES>20 (36 bodies): 38833_39063c82 → nodes_gt_20/
  [4453/7048] NODES>20 (70 bodies): 38840_0e449caf → nodes_gt_20/
  [4458/7048] NODES>20 (83 bodies): 38926_1eaf0b52 → nodes_gt_20/
  [4462/7048] NODES>20 (31 bodies): 39113_64cc0020 → nodes_gt_20/
  [4464/7048] NODES>20 (146 bodies): 39203_cf2b0f8f → nodes_gt_20/
  [4467/7048] NODES>20 (69 bodies): 39389_d641313f → nodes_gt_20/
  [4468/7048] NODES>20 (24 bodies): 39394_3e0555d8 → nodes_gt_20/
  [4469/7048] NODES>20 (25 bodies): 39395_c95928c9 → nodes_gt_20/
